ID_Pessoa,Idade,Renda,Tipo_de_Residência,Tempo_de_trabalho,ID_Emprestimo,Intenção_do_emprestimo,Grau_emprestimo,Quantidade_emprestimo,Taxa_juros,Estado_emprestimo,Renda_percentual,ID_historico,inadimplencia,tempo_historico_de_credito
Ia6YCmr9-I80D,23,57000,Hipotecada,0,8Gm8R3xJ-MRyl,Investimento,B,20000,11.99,0,0.35,UXoz91ZM-edkU,N,2
G17U28IF-5Gge,25,12000,Aluguel,2,lzPgM43R-NrCn,"Melhoramento do lar",B,2000,11.89,1,0.17,Bemy8teG-Ikdo,N,4
3vi8fQu7-Jsps,24,70000,Aluguel,0,O2p9C00S-urAj,Médico,C,6425,13.72,0,0.09,TT812HTc-Cfyc,N,2
LsZ3dAep-NXXg,27,34152,Aluguel,5,UJPIA9GW-IgPf,Educação,C,5000,13.79,0,0.15,DKs23KfT-hKdr,Y,9
EYwXwXy9-0zZJ,32,48000,Aluguel,15,q8ZqoZFU-EyGe,Investimento,A,3600,6.92,0,0.07,tzpAfqhX-vgDl,N,6
7gaspkEh-D5a6,29,78996,Aluguel,0,s3DyRSQF-o8iA,"Melhoramento do lar",D,15000,15.7,1,0.19,3riTNoT3-Mixd,Y,7
qRw8z1lG-wZLu,35,39000,Aluguel,8,yXArE01L-woQn,"Quitação de dividas",A,4500,6.62,0,0.12,6NIN1Tjp-Bmoa,N,6
URdPouyf-4FQL,24,75000,Hipotecada,8,1t2YgiQx-vWED,"Quitação de dividas",B,15000,12.21,0,0.2,XPiAA3kx-Em94,N,3
llxQJo3n-AOiT,23,28000,Hipotecada,5,hmSEbn24-IhUs,Educação,A,4000,6.92,0,0.14,kgjTLgAr-rJFt,N,4
yM4ooPMk-IjiA,27,17000,Aluguel,2,R643bDAx-xW8L,Investimento,D,4000,14.42,1,0.24,sWSsHRN3-7pHX,N,8
BFYp6KRM-sZtm,24,100000,Hipotecada,5,Q4QsEte2-a8dK,Investimento,A,7000,6.76,0,0.07,NNoQ0nFj-nkAg,N,3
6bPxUYo8-YaTk,21,50000,Hipotecada,5,svfXDBp1-Uof3,Pessoal,B,7000,10.59,0,0.14,BGoHQC9t-92m4,N,3
D2s3OICo-3vdJ,32,36000,Hipotecada,0,v6leDUCx-6uQc,"Quitação de dividas",C,1800,12.61,0,0.05,pB7ZkcXn-YWH6,N,10
nOR2iMvN-9KhW,23,39996,Hipotecada,3,1qrYRb9Y-kduu,Educação,A,3600,7.51,0,0.09,qfNJr0kl-L7SP,N,4
6jgmCTiq-EZKk,32,193800,Aluguel,0,TlMfl2AO-W7Bj,Médico,B,20000,11.83,1,0.09,Ey7OyF1H-L3WU,N,6
F6EUTT5r-U2wr,26,200000,Hipotecada,4,mt2eurOT-aLcs,Educação,C,15000,14.79,0,0.07,ROLmRIT3-KJYC,N,3
ssQNPoTm-wohf,25,32400,Aluguel,6,xUxyzsK8-ZEQD,Médico,B,4000,10.08,0,0.12,6P4rGWKQ-xRjq,N,2
ggBWWfDh-fk99,21,12000,Aluguel,5,G1JBCWCt-q5y5,Investimento,B,5000,11.49,1,0.42,vmYhlsSc-f1GI,N,2
0Yj9aBH1-atQW,28,60000,Aluguel,12,Dg7NxiOU-ns1d,"Quitação de dividas",A,4600,7.88,0,0.08,ZiTwaNy7-l3cf,N,8
RKssOw9v-hl4W,29,140000,Própria,5,I24kldsM-rZ97,Investimento,B,27000,9.91,0,0.19,1bmWjpD2-gMbL,N,7
gZpxNLEG-1y3e,27,84906,Hipotecada,11,ZNXkIxaR-QR6W,"Quitação de dividas",A,4500,7.51,0,0.05,TIbvjMc9-49et,N,10
6EbxOCgG-Rh2n,23,294000,Hipotecada,6,o54zv9MF-0U0G,Educação,A,15000,8.9,0,0.05,SL1jMQYu-G2U5,N,4
qM3kltKT-DNnC,22,74800,Aluguel,3,G1KabDJ7-KMCZ,Médico,D,20000,14.96,1,0.23,rcbh7uj8-MbcA,Y,4
iF5wC3JM-gZiR,25,78000,Hipotecada,0,XfWtlj9L-E2dB,"Quitação de dividas",A,10000,5.79,0,0.13,SQR3DPgw-ETo8,N,2
BNB8ibsN-8QYU,22,88512,Hipotecada,6,Si4qTh1k-WRoA,Educação,A,3000,5.79,0,0.03,MKDFaI99-SdYe,N,2
pCrW0Nvj-kmFS,22,60000,Hipotecada,6,G3lb6Ntq-1Oeq,Médico,A,7000,7.14,0,0.12,CbzkA8WB-hlXz,N,3
oSUX5hgy-A2FU,30,24000,Aluguel,5,EikAo06Q-eKJJ,Médico,C,5500,13.23,0,0.23,bflSepic-2A3G,Y,8
E4YdWmDv-19jY,33,53004,Aluguel,0,umeZXUmD-LADO,Educação,C,20000,13.04,1,0.38,7mnhbvcX-eq7d,Y,9
rLghAdk8-Ftl6,32,45576,Aluguel,1,iy38BC66-LIbq,Investimento,B,4000,10.99,0,0.09,PtmDvIJW-WQWi,N,9
4jmya5he-36fn,28,53000,Aluguel,0,h0rt19dP-GLMP,Pessoal,B,7000,9.88,0,0.13,mYW0CLQl-Q1ji,N,6
rQe5ryeb-UFJw,34,55000,Hipotecada,6,KyviN96J-TrBi,"Melhoramento do lar",C,2500,13.49,0,0.05,ycs0sltq-Yrui,N,7
Emt9AMCX-2w3u,24,63582,Hipotecada,3,7rBeh3uB-60D9,"Melhoramento do lar",C,14000,13.85,1,0.22,7nL6phou-4gzE,N,3
G3uMLh7S-4wt6,23,81500,Hipotecada,4,hv9upDpy-0Wu9,"Quitação de dividas",B,15000,10,0,0.18,QZISgnjK-uAty,N,4
DKbKyfKr-wl9r,24,62400,Hipotecada,3,Yg0xlNsE-tUdw,Educação,A,9500,6.54,0,0.15,v0qv64EY-Bg3h,N,2
rS74ZzbJ-axwK,28,82000,Hipotecada,8,zXqwHQpt-ryzh,Educação,A,18000,7.66,0,0.22,8bMgyO1X-KbSZ,N,9
NpAxUIZr-6PCU,27,105000,Hipotecada,3,lbrUMgQH-6QPU,Educação,C,25000,12.23,0,0.24,5u60PuTg-xYhU,N,5
u45tOoke-AaAM,36,28800,Própria,0,q9tmoF2R-U8Er,"Melhoramento do lar",B,5375,11.11,0,0.19,Q3ytrTxY-KFUH,N,13
Ic24HECD-HgwA,25,28800,Aluguel,0,wyAj0NeR-icwA,"Quitação de dividas",B,5500,9.76,0,0.19,cBFmme82-rED4,N,4
dpPZ6Ggg-vmeW,25,31000,Aluguel,0,3KoNeXvY-NZdt,Pessoal,A,5000,8.94,0,0.16,Hj37Du4f-kdsR,N,2
1xBam4PP-PTpm,22,36000,Hipotecada,0,vxLW6fTp-YxI7,Educação,C,11625,13.49,0,0.32,XDqUMJZC-CRk9,N,2
qyW0gmlA-t7UK,24,44000,Aluguel,3,Tpudk2EL-kNTn,Educação,B,3500,12.69,0,0.08,SPI6ouCW-fbla,N,2
2jhcDM5S-lIgH,43,98600,Hipotecada,0,DfYUZrlI-Iyb5,Médico,D,7750,15.31,1,0.07,OpoMeJSS-sOtR,Y,14
7sHyxXDJ-6h9L,22,44412,Aluguel,3,jWCZgaox-kj4H,Pessoal,C,12000,13.11,0,0.27,wxm4XHX2-X75O,Y,2
acrMRMyG-1M5q,32,34000,Aluguel,4,CBP6faes-ycXa,Investimento,A,4000,7.74,0,0.12,w5xPUp1s-rHAw,N,10
ZKZOKEoj-GOPy,22,37000,Aluguel,5,3Kc6GtIC-jIzU,Educação,B,6000,11.83,0,0.16,NjqTkxo8-IUct,N,4
aX3uy5RJ-whru,23,145000,Própria,7,LiLpp4NJ-SO25,Educação,B,20800,11.83,0,0.14,qGGKA5gE-pQGe,N,4
zXn9ZUyr-aT89,23,44400,Hipotecada,3,cwHFFQNp-9TDh,Educação,A,6500,7.51,0,0.15,f4MdAtpX-hkZT,N,4
BFtWFiQ6-3wGK,25,150000,Hipotecada,7,K4OlpvIf-5Exh,"Melhoramento do lar",B,22000,10.38,0,0.15,4Gqrx1J4-YFyH,N,4
5CnX98YJ-mbkY,22,32400,Aluguel,6,fQuvSrKs-IYrm,Educação,A,8000,7.9,0,0.25,3TfP6UPr-Z6bw,N,2
1UCvP4j0-ql8v,26,105000,Própria,10,N9aKwsTx-5gL2,Investimento,D,10000,15.65,0,0.1,WGPLSPel-5ehQ,Y,4
4Fvtibj1-o9aw,22,48888,Aluguel,1,HYHROQTb-Lnzq,Pessoal,C,18400,13.16,1,0.38,geK2Ahdy-qRHf,N,2
hspo6TWE-ISml,30,100000,Hipotecada,14,J32dvJc2-YMLT,Educação,A,13000,7.88,0,0.13,9vsvmBv7-7PQ3,N,9
RTcxgB0v-kknA,39,30500,Aluguel,3,JKSv57J3-gyKl,Pessoal,A,3600,7.68,0,0.12,v8yotBza-p2o3,N,13
QS8TT4Pc-u5My,49,110000,Hipotecada,11,aim5lhBd-jW8M,"Melhoramento do lar",A,3000,7.51,0,0.03,3m3yNUWE-mZ8c,N,16
o2Pb3iAG-Q0o3,57,15000,Hipotecada,1,0l0eXsDs-cDGh,"Quitação de dividas",C,3000,12.68,1,0.2,qSnlyQUx-4g3U,N,23
p77uErZ9-Ef5h,23,138000,Aluguel,7,a47H0LZE-eb25,"Quitação de dividas",D,24000,16,1,0.17,TbRq9Rgi-9H9n,Y,2
tn0NQ0ra-B9Yh,24,118000,Hipotecada,8,8I5Q1eLS-iakl,"Melhoramento do lar",A,5000,5.42,0,0.04,FIpEEOEL-lmWW,N,2
hUx77FXL-KuEe,40,55000,Própria,2,ehheoW0b-JZhg,"Melhoramento do lar",B,8000,11.36,0,0.15,0gXrhpc4-BKfL,N,17
MdpmtkUS-aJKX,42,175000,Hipotecada,12,bga816hO-SySY,Pessoal,C,7000,12.99,0,0.04,mrt2gvPo-p3Mc,Y,13
W9KZpR2c-NTUj,22,36000,Aluguel,6,F72fjmTH-a8rX,Educação,B,6000,10.75,0,0.17,S5MfF2HQ-76Kw,N,3
CThqJS2W-adjs,34,120000,Hipotecada,10,ZpMX3zgS-8xvJ,Educação,B,20000,10.37,0,0.17,DIKeO8yl-QAHA,N,10
0ArqIZfr-CLmA,26,95000,Aluguel,9,hKtHzbJG-RRdR,"Melhoramento do lar",D,18000,15.31,0,0.19,jskLKOMo-2yTE,N,3
ESAaEgc3-GWpe,26,104004,Hipotecada,10,DavMgMk3-I9Mi,"Quitação de dividas",C,15000,14.22,0,0.14,KNoJUURv-aL4l,N,2
qWbCJuDq-mHT5,31,72500,Hipotecada,12,R1mqJv72-rWhB,Investimento,B,8875,11.99,0,0.12,JXsXnOie-lgZw,N,8
7FuRPybf-tjaj,22,75000,Aluguel,5,cN47K7Aq-MhGC,Educação,B,7000,10.99,0,0.09,ZtpoOyOZ-MyrK,N,2
kjTwnEGp-RXEi,24,62000,Aluguel,3,uKSfBM3i-dvhJ,"Melhoramento do lar",C,10000,13.49,0,0.16,RMpr2ofj-LjyY,Y,3
b74axXLL-3pmz,26,50500,Aluguel,0,7zma4vlK-piwC,"Melhoramento do lar",A,4050,7.88,0,0.08,NwGnMcC4-5pJb,N,4
3dXCwhtX-Il3K,29,90000,Aluguel,0,eQLKebUx-TZJc,Investimento,B,23475,11.58,0,0.26,Koeuu7ih-qx1T,N,6
7HvZC7F4-byQc,23,55000,Aluguel,2,R3A7WEIa-8feT,Educação,A,2000,7.49,0,0.04,Cm68JYYv-Uj2A,N,3
Faa8lICS-0nQc,23,62000,Aluguel,7,KT60QWpY-bPT6,Investimento,A,16000,7.49,0,0.26,rGvxwPBL-yOOw,N,2
a2zgmh8Z-fIyr,22,65000,Aluguel,6,b7Tn8BR2-ODmY,Médico,A,16000,8.49,0,0.25,mol3TPFH-c5K8,N,4
hrsQKnxE-jeso,24,66000,Aluguel,3,9FeG25j8-6UOG,Educação,B,25000,9.91,1,0.38,H98g545P-4Trw,N,2
YLR0AIfu-AIru,33,248735,Aluguel,4,BedK4fLt-sj1J,"Quitação de dividas",D,25000,14.11,1,0.1,xpOxtInw-Mlno,Y,6
mt7nCk6m-55WE,33,34000,Aluguel,6,Q2rq4iNP-iYyJ,"Quitação de dividas",B,8000,9.99,0,0.24,GcFklKhW-Sy2f,N,5
NL5OOabP-Z4S1,23,23040,Própria,0,jIixYASF-EcfS,Investimento,B,2000,11.11,0,0.09,7DKMsB2k-rpAc,N,3
7iPBtzbQ-yBR2,33,70000,Hipotecada,3,mzaZrIba-KIoG,Investimento,C,20000,12.84,0,0.29,HblnvS65-KG7m,Y,7
q6600sRI-8ryL,26,68000,Aluguel,10,cdS0h0MU-4Kgs,Educação,B,20000,10.75,0,0.29,whecYUxb-30BT,N,4
7d0xyUs6-wmdF,22,16800,Aluguel,2,trggC8U3-joLs,Pessoal,B,4000,10.25,1,0.24,bJmRF8nG-o3Ou,N,4
RXAzIMn4-mzQu,25,150000,Hipotecada,9,QZ1e7X6F-pRkH,"Quitação de dividas",A,10000,5.42,0,0.07,LXEiQu6M-aqjj,N,4
XdvIb5fQ-Gy3M,25,31500,Aluguel,2,CPpdKHfR-F1Jt,Investimento,B,1500,10.99,0,0.05,egOQBPNl-Tb6U,N,4
Uc5lhioH-ChqA,22,64000,Aluguel,5,2xOhggZG-ChLX,"Quitação de dividas",A,6600,8.9,0,0.1,ICLWUJS9-6QuW,N,4
iPuzdglZ-ONsD,29,18000,Aluguel,3,FSi8Ipic-CLwu,Investimento,B,1700,11.12,0,0.09,ET9f89yr-T7nt,N,8
U37ArNLx-2AUY,23,56004,Hipotecada,0,iSN44Zmp-dvvA,Educação,C,10000,13.61,0,0.18,QCgekcrf-x9yh,N,4
PjWlZuNN-3dA1,23,80000,Hipotecada,5,YHULG0Io-J8jp,Investimento,D,20000,14.96,0,0.25,YO7twzwq-UKtN,N,3
sE75flii-JIrP,26,51600,Aluguel,1,cCWn7Kft-lzCm,Educação,A,5000,8.94,1,0.1,F7HdRtcp-BXpw,N,2
2EowgM99-tctA,25,60000,Hipotecada,1,Orn3KdSt-swlW,"Melhoramento do lar",C,5000,15.27,0,0.08,jtX5AAIw-PtgR,Y,2
XFD9pY60-H6s3,33,53000,Aluguel,6,e38rxpCT-fCe8,"Melhoramento do lar",B,2500,9.99,0,0.05,miI2ahrP-fg0x,N,7
QzzW4e5N-wzhS,25,44000,Aluguel,2,slwRbUvu-9YEt,Pessoal,D,10000,15.65,1,0.23,PkWiA0i1-Fa1J,N,2
dWqOftcE-hed0,23,85000,Aluguel,0,HS2E78Ly-ECxk,Pessoal,B,12000,10.37,0,0.14,riq40PWW-ltyh,N,4
5BvnWceL-EMy5,22,55000,Aluguel,7,pZr7vXoj-6P1v,Médico,B,10000,10.37,0,0.18,QzEm7S6M-xAjz,N,2
yZv0BOix-wlBt,28,69000,Hipotecada,12,9YXiwkdy-4LX2,"Quitação de dividas",B,10000,9.88,0,0.14,jOEDyr69-FHnh,N,8
M9QWhY8i-9PtN,24,10000,Aluguel,8,ie5ATLXh-Xi5T,Pessoal,A,3000,7.9,1,0.3,XOP555pU-K6f0,N,3
mUEYZU9x-2WMg,22,50000,Aluguel,2,xCTofO5K-F6Q3,"Quitação de dividas",B,6000,10.46,0,0.12,HL6skBLZ-pn2X,N,4
6Dw8sQWO-5hrI,22,85000,Hipotecada,7,BwW66Q6L-s8u1,Educação,A,11700,8.59,0,0.14,B1J68RsQ-p3g9,N,3
5IOnbp5t-nmhY,36,72000,Aluguel,5,mNCB7xPS-nyDJ,Investimento,C,16500,13.61,0,0.23,8mnMvkTf-3Mnv,N,11
JYpCiJ6y-O5Y7,33,54000,Hipotecada,3,kR4ED1vQ-hgx6,Educação,C,10000,15.23,0,0.19,87Zar21E-BLao,Y,8
2EA3TXH6-Atm8,25,105000,Hipotecada,6,f5J49nFJ-Gele,Pessoal,D,6500,13.87,0,0.06,xreWqo4r-FmGn,N,4
FiMBTJNC-XBnM,23,100000,Hipotecada,0,K2wKrP5v-aM8y,Educação,A,11000,8.49,0,0.11,O6ukb7RO-Lj83,N,3
9rWDyiZ5-mG6b,45,140000,Hipotecada,18,qW5xkL1p-J04T,"Melhoramento do lar",A,7000,7.29,0,0.05,wedKHuY2-CRT2,N,17
OyHm4BER-M7Xy,28,191250,Hipotecada,11,sFJXz5it-InbZ,Médico,E,9000,16.95,1,0.04,QDDjgE4M-nzXx,N,6
4dkEd2Cr-QRgx,29,84000,Hipotecada,9,bxUqLhMg-q75C,"Melhoramento do lar",A,5900,7.66,0,0.07,Swiruke8-emSC,N,9
GYy8TyYO-pda9,25,100000,Hipotecada,9,LfUj5XzF-oxge,"Melhoramento do lar",B,4800,10.65,0,0.05,TpQoXuDf-G7uw,N,3
PML8TDF7-1dCp,23,70000,Aluguel,1,MFje4IW4-ZMMc,Pessoal,B,17000,8.88,0,0.24,GLnNwwzv-6IUh,N,3
3uwahWFO-O94p,29,27911,Aluguel,1,aNAHJ7Aw-htMl,Médico,E,5000,17.51,1,0.18,TX0eGiyF-vZSR,N,7
luIkjaWr-1Soq,33,210000,Hipotecada,17,nb2B3DzP-gKYA,"Quitação de dividas",B,20000,9.91,0,0.1,FZ7nmdkp-bqyH,N,7
eITGTNHx-CuXn,28,42000,Hipotecada,5,3HesRpXK-uEbH,"Melhoramento do lar",B,5375,10.65,0,0.13,OgP3rxH6-N1N4,N,7
rTjZOt5d-k4y2,50,39204,Aluguel,4,947azFJL-JAhs,Investimento,A,10000,5.99,0,0.26,QLkOKJIQ-drOT,N,12
h4nSFuxu-YWop,24,60000,Hipotecada,8,2TImDAnM-jSSl,Médico,A,13000,7.29,0,0.22,filUC0Rq-3YHe,N,2
ic6Jp40s-JkE8,36,39000,Hipotecada,8,eDufOcsy-A3Pn,Investimento,A,7000,5.79,0,0.18,Dw6I8H1e-n2pv,N,17
N5UaOiJ5-Fq5D,29,100000,Hipotecada,1,IlrnhzG4-agAA,Pessoal,C,10000,14.79,0,0.1,oODXlOxW-zg7e,N,6
4uqM3fxo-aTXK,21,42000,Hipotecada,5,pSq3zJ0z-wi0A,Educação,C,7000,15.23,0,0.17,lDtdHLxa-icMQ,Y,4
qOQYhIoz-xog8,42,51000,Hipotecada,5,cMfSSzdb-41rm,"Quitação de dividas",A,20000,8.49,0,0.39,n64v8ZoC-Oa8e,N,14
hlt7AFde-69Bo,30,56628,Hipotecada,2,KS6YyY3r-yHw7,"Melhoramento do lar",A,12000,8.94,0,0.21,RTHTrFiT-9O24,N,10
RHHJyfBP-MiAj,25,80000,Aluguel,6,cTtx4gqQ-l3S9,Educação,C,12000,12.99,0,0.15,coM4EwIF-IuXw,N,3
vOpiM4fH-CHhQ,25,62000,Hipotecada,7,CdPmk61m-RUBY,Investimento,A,12000,5.42,0,0.19,yyQdwnKj-bzPZ,N,2
0zb1sArJ-siS6,26,170000,Hipotecada,0,RH1pbrU1-08KR,"Melhoramento do lar",B,20000,10.37,0,0.12,ut8gXpkZ-5se4,N,3
IJecORv0-zSsR,26,60000,Hipotecada,2,fgFlvQE0-1y9P,Médico,C,18000,13.49,0,0.3,mLI97qlG-y434,N,4
9t2ZD62c-OZdK,26,67983,Hipotecada,7,mkRvPt2U-af55,Médico,D,15000,16.49,1,0.19,oHF4mnS0-noJ3,Y,3
kMAYiirF-Bf9a,46,60000,Hipotecada,1,Lc7KMi8X-JmQE,"Melhoramento do lar",C,5000,11.72,0,0.08,84yw9EYm-aT7S,N,13
7evdyyjy-QvLg,25,55016,Aluguel,0,XHR6rZYK-ZrMz,Investimento,C,10000,13.16,0,0.18,oSqkHhsG-mYwc,Y,2
JyaHBibW-jeBM,23,95000,Hipotecada,7,GGWYdKhZ-35Qg,"Quitação de dividas",A,4500,6.92,0,0.05,3vhdbEel-mYzY,N,3
mlz8fhnP-D4F3,32,44400,Hipotecada,3,vNUuinIc-46W4,Educação,A,15000,8.9,1,0.34,rESWm0i1-eLG5,N,5
Nz0wKMuI-z58P,24,42000,Própria,8,cmblLeTg-kZqy,"Melhoramento do lar",A,8000,6.62,0,0.19,Fm9sdcC2-8XPB,N,2
SC2d6zMH-q2AB,33,56000,Aluguel,7,bgJwvd0b-vSiy,Pessoal,B,10000,11.36,0,0.18,KExzjNLi-R6KG,N,6
TyPW69vB-D4qW,25,175000,Hipotecada,9,i9ClDzHb-d4Bg,Pessoal,B,7550,11.49,0,0.04,xKsUOtuP-cRBw,N,4
70a7FAUQ-ErJH,28,143000,Aluguel,5,normcqgD-gQr3,"Melhoramento do lar",C,15000,12.53,0,0.1,ThMbxdXX-GCEe,N,6
URlfFPf4-ePgI,27,42000,Aluguel,5,hh02G2d2-YqIj,"Quitação de dividas",E,12000,16,1,0.29,41cBxwQe-ooSU,Y,5
AYQRIpgx-TXjp,36,29500,Própria,4,kyw65DSF-zhW7,Investimento,B,1250,11.83,0,0.04,rwls8apb-K1Yh,N,15
xqBMCHXg-LwMp,23,42000,Aluguel,0,Fum1MnKI-bgv1,Educação,B,2500,11.49,0,0.06,armIXJ7M-FeOs,N,2
cgSaHiMY-aCG5,26,30000,Aluguel,0,RKLfK6oq-evaK,Investimento,B,10625,11.71,1,0.35,IfawfQB6-cL7x,N,3
rxEG9dOT-utNk,27,60000,Própria,4,MOBiwrxt-1ibr,Médico,B,10425,9.45,0,0.17,ohOL7KcX-hMFT,N,8
Fy5elPzk-CkfX,22,25000,Aluguel,4,E11F7TRO-AEfy,Médico,C,5825,14.27,0,0.23,FrH8ixkZ-apsw,N,2
BB0ivfdF-Qliu,22,69867,Hipotecada,2,U4eiJ4gB-Qu2w,Educação,B,13000,11.14,0,0.19,vDzfNLi8-dHta,N,2
PwxIhiAH-PhSb,26,26000,Hipotecada,7,Wta8xh2f-jI6W,"Melhoramento do lar",B,7000,10.99,0,0.27,99PcF8fM-APIN,N,4
e0m2AbiX-Xxno,48,20400,Aluguel,4,YRXIXQu8-8FRT,Médico,A,12000,7.49,1,0.59,aIg2tBJu-p3N1,N,12
UT9ZPcYJ-El4p,22,54225,Aluguel,0,a218SHJy-pLkW,Educação,E,15000,16.7,1,0.28,PeAcGnyp-8ko5,Y,4
kgoUOIk1-Cyvt,26,52000,Aluguel,10,Fc22C7sM-MOhB,"Melhoramento do lar",E,6000,15.68,0,0.12,4Rse4OnW-oRLT,N,3
cpJbZOER-stLf,31,80004,Hipotecada,9,wdB7IhUL-TuoS,Médico,C,3500,12.61,0,0.04,jEdPJ4ja-1lah,N,10
vdjL2ap3-LR3R,24,30000,Aluguel,8,4YT1oIQu-mvxA,Médico,B,3000,11.86,0,0.1,DRDX95xR-POkH,N,4
v0x0bIXZ-nbJD,25,150000,Hipotecada,9,nSQNomDP-bNWy,"Quitação de dividas",B,25000,10.25,0,0.17,z1KbUwQC-RJB3,N,2
mXNmikth-RW6N,29,60000,Hipotecada,13,pebOBvMj-LAU2,Médico,G,25000,20.16,1,0.42,ZE7kIn5s-dQzS,N,10
mwEWEfTR-Gpf0,38,58000,Aluguel,4,UjEfssJk-RzRj,Médico,E,9500,16.35,1,0.16,gmQuAlIm-qx28,Y,16
75AJGPjR-nvZm,28,157000,Própria,12,R4fTLxJI-xXAZ,Investimento,C,12000,13.92,0,0.08,eFruTCdR-PBSe,Y,9
L0ntL46g-hKw9,22,60000,Própria,6,WbL64swQ-oeZv,Educação,B,5900,11.12,0,0.1,WkCtNdlS-6dmG,N,2
NH9Xya7D-peub,35,61600,Aluguel,4,TSEacSfJ-uGOR,Médico,A,4200,7.29,0,0.07,5gX8GuEC-31kQ,N,9
auPnymjY-Tnwq,39,60000,Aluguel,2,56jZ81zs-ksMS,"Quitação de dividas",C,6000,15.27,0,0.1,d0ypSrmO-3ZqN,N,14
msqpZ9ht-FIC0,23,65100,Hipotecada,1,G1pUezgw-3WUy,Médico,C,9000,14.79,0,0.14,Q1i5xoK8-9SHO,Y,4
3lfsd8KX-tfKN,32,108000,Hipotecada,13,P9MqL6uf-zUhP,"Quitação de dividas",D,8400,15.99,1,0.08,PMGnRWMK-P4RN,N,7
8Fm8bdEw-fAjQ,23,64000,Hipotecada,0,7MR2kHQu-MR2A,"Quitação de dividas",D,12000,15.62,1,0.19,AJ3ks4hH-WDMe,Y,4
H7hceG5S-hxzv,26,40000,Aluguel,4,IwOgMrMj-ru5d,Educação,A,12500,6.92,1,0.31,iuzsEK6G-aN4d,N,2
Cj1WXY6A-ohOg,32,106000,Hipotecada,12,AfDpD6wC-FtYn,"Melhoramento do lar",A,12000,5.79,0,0.11,ofFfsqH7-fptC,N,8
APOoOGfk-bcDQ,22,32000,Própria,1,gDPk9t4d-jfM3,Médico,B,1200,9.96,0,0.04,Fk2fAweY-Q5jB,N,2
Yo9qX3RY-k42K,22,83000,Própria,6,ccaoMDTc-R3M0,"Quitação de dividas",D,25000,15.95,0,0.3,rZDmfYbB-mtWH,Y,4
oHyr6RMX-3uSm,25,78000,Aluguel,2,SG44g870-jgOx,"Melhoramento do lar",D,3200,14.59,1,0.04,qcTT4uhK-yfXF,Y,3
ocMtL5Rv-hwIv,25,46800,Aluguel,5,3tftvIMw-X1rU,"Melhoramento do lar",C,12000,13.11,1,0.26,1MjNFD4p-pM2T,Y,4
ObB6cpKS-FYcU,27,81000,Própria,4,KaSKpcaB-isjj,Investimento,C,9000,13.43,0,0.11,Z1BgSyxp-LDwx,Y,9
2PC2G1Wm-Ht2T,24,82000,Própria,8,TbrUi7q6-9lmn,Educação,C,25000,15.27,0,0.3,FaWv1C6S-hwYi,Y,3
d39hh81d-C2bI,42,61000,Própria,2,uT3LUrbI-MRlL,Pessoal,A,14400,7.51,0,0.24,cTY8pusy-c3rz,N,17
N7xfSfH0-cSwA,27,30000,Aluguel,2,SX1nsDZM-ayWG,Investimento,B,11500,10.36,1,0.38,ygm4DqFe-N0IJ,N,6
uEXO0ig3-FClI,24,70000,Própria,8,ETxOc70g-6FPQ,Pessoal,B,24250,12.18,0,0.35,gkaz5H0a-YGcr,N,2
H3r8Rm8A-dxnI,31,40000,Aluguel,3,vNWqpCxx-XFqd,Médico,B,2000,10.37,0,0.05,OlSaN4c9-wI4F,N,7
CN7ykwOw-gDGo,32,90000,Hipotecada,6,d3UpHhpu-wST3,Pessoal,A,15600,7.9,0,0.17,EoaLteoH-C300,N,9
91HPGvBQ-rRmX,21,62500,Hipotecada,6,npFI1wK2-MZw1,Educação,A,13200,7.9,0,0.21,IK9AcKYS-QuTl,N,3
Nx5Nxuzq-HxLD,26,83004,Aluguel,7,lnSXj3rn-xMck,Investimento,A,5450,7.9,0,0.07,UDA35DSx-k1Nu,N,3
Mz9TH5xL-16rR,27,50000,Própria,7,0x8xGhId-0Yuy,Educação,C,8800,12.29,0,0.18,to7vK1lk-azcT,N,7
WLUl0xdu-CAnT,23,85000,Hipotecada,6,Dd3jLCxJ-hK0S,Pessoal,B,25000,10.75,0,0.29,NauhhBqd-Fvj3,N,4
PuIXsYk6-uE4r,24,40000,Hipotecada,8,eh386pvC-y8tI,Pessoal,B,10000,9.88,0,0.25,fcrnERrm-tarh,N,2
33mwrlhH-7kGS,25,64000,Aluguel,8,IjxTXbKw-To9h,"Quitação de dividas",D,15000,14.42,1,0.23,p1yAsSKW-vGmC,Y,3
3sEeNkTm-rbKF,24,26400,Aluguel,2,WCsrCfbT-i8di,Médico,B,6400,10.37,0,0.24,ca7sFM1f-IOI2,N,3
w3I1vIvj-AIot,24,77000,Hipotecada,6,gMFOKKXA-6dwH,"Quitação de dividas",B,12000,12.42,0,0.16,r4vhBmWl-IwBO,N,2
lbfKtWXc-h31F,26,52700,Hipotecada,7,vrRxsqir-PFWD,Pessoal,A,4000,7.4,0,0.08,kcpr2zjr-Be3l,N,3
eA8sinCb-fNxT,27,52000,Hipotecada,11,iCkMyTld-Ho5z,"Melhoramento do lar",A,6000,7.49,0,0.12,eDBahqpO-gQ9w,N,8
wrAnoSIp-oYdT,23,54000,Aluguel,5,L0ZNgPPf-Ac7I,"Quitação de dividas",D,6000,15.62,1,0.11,RinAeR42-DIqL,Y,4
